cik,ticker,company,form,category,filings,years,first_filing,last_filing,tokens,occurrences,mean_share_pct,pooled_share_pct
0000002488,AMD,ADVANCED MICRO DEVICES INC,All,Negative,20,5,2021-01-29,2025-11-05,554335,17741,3.3282666991911447,3.200411303634084
0000002488,AMD,ADVANCED MICRO DEVICES INC,All,Uncertainty,20,5,2021-01-29,2025-11-05,554335,14496,2.7069426922937474,2.6150252103872207
0000018230,CAT,CATERPILLAR INC,All,Negative,20,5,2021-02-17,2025-11-03,359703,5566,1.388493653212384,1.5473877059685353
0000018230,CAT,CATERPILLAR INC,All,Uncertainty,20,5,2021-02-17,2025-11-03,359703,4342,0.9989283527277053,1.2071069743649623
0000059478,LLY,ELI LILLY & Co,All,Negative,20,5,2021-02-17,2025-10-30,298841,6500,1.9133977969092566,2.175069685886475
0000059478,LLY,ELI LILLY & Co,All,Uncertainty,20,5,2021-02-17,2025-10-30,298841,5339,1.7080764016861756,1.7865687773765984
0000097210,TER,"TERADYNE, INC",All,Negative,20,5,2021-02-22,2025-10-30,241860,3768,1.3673153359819712,1.5579260729347557
0000097210,TER,"TERADYNE, INC",All,Uncertainty,20,5,2021-02-22,2025-10-30,241860,3811,1.439491835694993,1.5757049532787564
0000202058,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",All,Negative,20,5,2021-03-01,2025-10-30,368666,7531,1.7922789328341384,2.0427704209230035
0000202058,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",All,Uncertainty,20,5,2021-03-01,2025-10-30,368666,6557,1.6898521077650765,1.7785746448004427
0000315189,DE,DEERE & CO,All,Negative,20,5,2021-02-25,2025-12-18,260672,5257,1.7597836300820469,2.0167106555364596
0000315189,DE,DEERE & CO,All,Uncertainty,20,5,2021-02-25,2025-12-18,260672,4044,1.2978086029908757,1.5513749079302726
0000773840,HON,HONEYWELL INTERNATIONAL INC,All,Negative,20,5,2021-02-12,2025-10-23,268725,4375,1.3596951679410612,1.6280584240394456
0000773840,HON,HONEYWELL INTERNATIONAL INC,All,Uncertainty,20,5,2021-02-12,2025-10-23,268725,3685,1.1724999099541262,1.3712903525909388
0000864749,TRMB,TRIMBLE INC.,All,Negative,20,5,2021-02-26,2025-11-05,270004,5151,1.6942773680513727,1.9077495148220027
0000864749,TRMB,TRIMBLE INC.,All,Uncertainty,20,5,2021-02-26,2025-11-05,270004,4665,1.5936496827929747,1.7277521814491636
0000874015,IONS,IONIS PHARMACEUTICALS INC,All,Negative,20,5,2021-02-24,2025-10-29,564471,11304,2.13284284774464,2.002582949345493
0000874015,IONS,IONIS PHARMACEUTICALS INC,All,Uncertainty,20,5,2021-02-24,2025-10-29,564471,10675,2.067386466202993,1.8911511840289403
0000883241,SNPS,SYNOPSYS INC,All,Negative,20,5,2021-02-19,2025-12-22,458658,12419,2.7612960988542192,2.7076819765489755
0000883241,SNPS,SYNOPSYS INC,All,Uncertainty,20,5,2021-02-19,2025-12-22,458658,11880,2.649766546528506,2.590165221145167
0000896878,INTU,INTUIT INC.,All,Negative,20,5,2021-02-23,2025-11-20,543694,16001,3.0382385779619656,2.9430157404716626
0000896878,INTU,INTUIT INC.,All,Uncertainty,20,5,2021-02-23,2025-11-20,543694,12057,2.263676790926381,2.217607698448024
0000936468,LMT,LOCKHEED MARTIN CORP,All,Negative,20,5,2021-01-28,2025-10-21,421937,6216,1.2529112633158115,1.4732057155452116
0000936468,LMT,LOCKHEED MARTIN CORP,All,Uncertainty,20,5,2021-01-28,2025-10-21,421937,7370,1.6021325815458631,1.7467062618352978
0001018724,AMZN,AMAZON COM INC,All,Negative,20,5,2021-02-03,2025-10-31,348118,9181,2.674404577192442,2.637324125727483
0001018724,AMZN,AMAZON COM INC,All,Uncertainty,20,5,2021-02-03,2025-10-31,348118,7369,2.1446178705842516,2.116810966396452
0001020214,CERS,CERUS CORP,All,Negative,8,2,2021-02-25,2022-11-03,414381,13253,3.2385303477304044,3.1982643991881865
0001020214,CERS,CERUS CORP,All,Uncertainty,8,2,2021-02-25,2022-11-03,414381,10202,2.4865716868426766,2.4619854674804107
0001035267,ISRG,INTUITIVE SURGICAL INC,All,Negative,20,5,2021-02-10,2025-10-22,592106,12264,1.66747101668361,2.071250755776837
0001035267,ISRG,INTUITIVE SURGICAL INC,All,Uncertainty,20,5,2021-02-10,2025-10-22,592106,11974,1.8748934456875552,2.0222730389491073
0001045810,NVDA,NVIDIA CORP,All,Negative,20,5,2021-02-26,2025-11-19,358540,8119,2.1673946005811326,2.264461426897975
0001045810,NVDA,NVIDIA CORP,All,Uncertainty,20,5,2021-02-26,2025-11-19,358540,7564,2.136423195548041,2.1096669827634296
0001065280,NFLX,NETFLIX INC,All,Negative,20,5,2021-01-28,2025-10-22,215036,3428,1.1199167506843657,1.5941516769285142
0001065280,NFLX,NETFLIX INC,All,Uncertainty,20,5,2021-01-28,2025-10-22,215036,4173,1.6890709374794064,1.9406052939972842
0001069258,KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",All,Negative,20,5,2021-02-25,2025-11-04,370798,9345,1.995160836658286,2.5202401307450417
0001069258,KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",All,Uncertainty,20,5,2021-02-25,2025-11-04,370798,7760,1.7131365193748647,2.0927836719723407
0001094285,TDY,TELEDYNE TECHNOLOGIES INC,All,Negative,20,5,2021-02-26,2025-10-24,272369,5153,1.5672438756728764,1.8919186838443436
0001094285,TDY,TELEDYNE TECHNOLOGIES INC,All,Uncertainty,20,5,2021-02-26,2025-10-24,272369,4827,1.473916498081762,1.7722281170030363
0001099590,MELI,MERCADOLIBRE INC,All,Negative,20,5,2021-03-01,2025-10-30,492363,8046,1.267080780545652,1.6341601623192645
0001099590,MELI,MERCADOLIBRE INC,All,Uncertainty,20,5,2021-03-01,2025-10-30,492363,7148,1.2622233448837943,1.4517744022195007
0001110803,ILMN,"ILLUMINA, INC.",All,Negative,20,5,2021-02-17,2025-10-31,279810,5994,1.9758931195806153,2.1421678996461884
0001110803,ILMN,"ILLUMINA, INC.",All,Uncertainty,20,5,2021-02-17,2025-10-31,279810,5882,1.9025551170227988,2.102140738358172
0001121788,GRMN,GARMIN LTD,All,Negative,20,5,2021-02-17,2025-10-29,220860,4184,1.6773293879479678,1.8944127501584713
0001121788,GRMN,GARMIN LTD,All,Uncertainty,20,5,2021-02-17,2025-10-29,220860,3749,1.4859208273797615,1.6974554016118808
0001217234,CDNA,"CareDx, Inc.",All,Negative,20,5,2021-02-24,2025-11-04,630779,18079,2.728830658735551,2.8661385366348595
0001217234,CDNA,"CareDx, Inc.",All,Uncertainty,20,5,2021-02-24,2025-11-04,630779,13157,2.0420191077382426,2.0858335486755264
0001299130,PACB,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",All,Negative,13,4,2021-02-26,2024-02-28,488070,16613,3.4520147371920094,3.403815026533079
0001299130,PACB,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",All,Uncertainty,13,4,2021-02-26,2024-02-28,488070,13807,2.8479276840911116,2.828897494211896
0001318605,TSLA,"Tesla, Inc.",All,Negative,20,5,2021-02-08,2025-10-23,378430,7837,1.7059498236299775,2.0709246095711227
0001318605,TSLA,"Tesla, Inc.",All,Uncertainty,20,5,2021-02-08,2025-10-23,378430,7155,1.6858392644914182,1.8907063393494172
0001368622,AVAV,AeroVironment Inc,All,Negative,20,5,2021-03-10,2025-12-10,405855,9726,2.1050309775477922,2.396422367594338
0001368622,AVAV,AeroVironment Inc,All,Uncertainty,20,5,2021-03-10,2025-12-10,405855,7773,1.666928001911737,1.9152160254278006
0001384101,VCYT,"VERACYTE, INC.",All,Negative,20,5,2021-02-22,2025-11-05,834898,21715,2.4247350361902376,2.600916519143656
0001384101,VCYT,"VERACYTE, INC.",All,Uncertainty,20,5,2021-02-22,2025-11-05,834898,19876,2.3221240972244637,2.380650091388409
0001418819,IRDM,Iridium Communications Inc.,All,Negative,20,5,2021-02-11,2025-10-23,312823,4959,1.1659458933313231,1.585241494391397
0001418819,IRDM,Iridium Communications Inc.,All,Uncertainty,20,5,2021-02-11,2025-10-23,312823,4284,1.1521983182556974,1.369464521470608
0001474432,P,"Everpure, Inc.",All,Negative,20,5,2021-03-25,2025-12-10,481825,15430,3.257203864670683,3.2024075131012295
0001474432,P,"Everpure, Inc.",All,Uncertainty,20,5,2021-03-25,2025-12-10,481825,12810,2.6985206228755243,2.658641622995901
0001478320,ADPT,Adaptive Biotechnologies Corp,All,Negative,20,5,2021-02-24,2025-11-05,467616,11672,1.5774473970973653,2.4960651474714295
0001478320,ADPT,Adaptive Biotechnologies Corp,All,Uncertainty,20,5,2021-02-24,2025-11-05,467616,9234,1.5978632127205739,1.9746971874358448
0001486957,BWXT,"BWX Technologies, Inc.",All,Negative,20,5,2021-02-22,2025-11-03,278594,5684,1.5402706902144525,2.040244944255799
0001486957,BWXT,"BWX Technologies, Inc.",All,Uncertainty,20,5,2021-02-22,2025-11-03,278594,4649,1.3706386546650862,1.6687365844203392
0001527753,PSNL,"Personalis, Inc.",All,Negative,13,5,2021-02-25,2025-11-04,689292,24930,3.676542172229278,3.6167545829633885
0001527753,PSNL,"Personalis, Inc.",All,Uncertainty,13,5,2021-02-25,2025-11-04,689292,17855,2.629337292429223,2.590339072555608
0001535527,CRWD,"CrowdStrike Holdings, Inc.",All,Negative,3,1,2025-06-04,2025-12-03,114984,4635,4.033019948758946,4.030995616781465
0001535527,CRWD,"CrowdStrike Holdings, Inc.",All,Uncertainty,3,1,2025-06-04,2025-12-03,114984,3036,2.641647506763986,2.640367355458151
0001549595,NRIX,"Nurix Therapeutics, Inc.",All,Negative,20,5,2021-02-16,2025-10-09,1239316,38495,3.1694245590686605,3.1061488756701277
