cik,ticker,company,form,category,filings,years,first_filing,last_filing,tokens,occurrences,mean_share_pct,pooled_share_pct,rank,ranking_metric
0001816590,CMPS,COMPASS Pathways plc,All,Negative,16,4,2022-02-24,2025-11-04,1267849,40359,3.2461679270783024,3.1832655150573923,1,occurrences
0001549595,NRIX,"Nurix Therapeutics, Inc.",All,Negative,20,5,2021-02-16,2025-10-09,1239316,38495,3.1694245590686605,3.1061488756701277,2,occurrences
0001818874,SOFI,"SoFi Technologies, Inc.",All,Negative,18,5,2021-08-16,2025-11-06,1258807,35013,2.637014564936075,2.7814430647430464,3,occurrences
0001652130,NTLA,"Intellia Therapeutics, Inc.",All,Negative,20,5,2021-02-26,2025-11-06,1023190,31300,3.1327334470363475,3.0590603895659654,4,occurrences
0001527753,PSNL,"Personalis, Inc.",All,Negative,13,5,2021-02-25,2025-11-04,689292,24930,3.676542172229278,3.6167545829633885,5,occurrences
0001818331,WGS,GeneDx Holdings Corp.,10-K,Negative,2,2,2024-02-23,2025-02-20,107714,3451,3.204460534256194,3.2038546521343556,1,mean_share_pct
0001527753,PSNL,"Personalis, Inc.",10-K,Negative,4,4,2021-02-25,2025-02-27,265413,8389,3.171326761772512,3.1607344026102715,2,mean_share_pct
0001478320,ADPT,Adaptive Biotechnologies Corp,10-K,Negative,5,5,2021-02-24,2025-03-03,342491,10291,3.0155740465488745,3.0047504897938926,3,mean_share_pct
0001069258,KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",10-K,Negative,5,5,2021-02-25,2025-02-26,234722,7074,3.013223767681783,3.0137780012099418,4,mean_share_pct
0001217234,CDNA,"CareDx, Inc.",10-K,Negative,5,5,2021-02-24,2025-02-28,294376,8773,2.9830372345460736,2.980202190395956,5,mean_share_pct
0001535527,CRWD,"CrowdStrike Holdings, Inc.",10-Q,Negative,3,1,2025-06-04,2025-12-03,114984,4635,4.033019948758946,4.030995616781465,1,mean_share_pct
0001527753,PSNL,"Personalis, Inc.",10-Q,Negative,9,4,2021-05-05,2025-11-04,423879,16541,3.9010823546545073,3.902292871314691,2,mean_share_pct
0001299130,PACB,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",10-Q,Negative,9,3,2021-05-06,2023-11-03,301234,11043,3.6635389957835067,3.6659208455884795,3,mean_share_pct
0000002488,AMD,ADVANCED MICRO DEVICES INC,10-Q,Negative,15,5,2021-04-28,2025-11-05,354442,12791,3.611654123731343,3.6087709695803545,4,mean_share_pct
0001730168,AVGO,Broadcom Inc.,10-Q,Negative,15,5,2021-03-12,2025-09-10,332166,11756,3.5581633959396384,3.5391942582925404,5,mean_share_pct
0001549595,NRIX,"Nurix Therapeutics, Inc.",All,Uncertainty,20,5,2021-02-16,2025-10-09,1239316,33316,2.7558668709380503,2.688257070835848,1,occurrences
0001816590,CMPS,COMPASS Pathways plc,All,Uncertainty,16,4,2022-02-24,2025-11-04,1267849,31803,2.5613599463887775,2.508421744229794,2,occurrences
0001818874,SOFI,"SoFi Technologies, Inc.",All,Uncertainty,18,5,2021-08-16,2025-11-06,1258807,28362,2.1841109203310527,2.2530856596761857,3,occurrences
0001652130,NTLA,"Intellia Therapeutics, Inc.",All,Uncertainty,20,5,2021-02-26,2025-11-06,1023190,25083,2.5107906021706032,2.4514508546799716,4,occurrences
0001384101,VCYT,"VERACYTE, INC.",All,Uncertainty,20,5,2021-02-22,2025-11-05,834898,19876,2.3221240972244637,2.380650091388409,5,occurrences
0001849056,OKLO,Oklo Inc.,10-K,Uncertainty,1,1,2025-03-24,2025-03-24,35959,1005,2.7948496899246362,2.7948496899246362,1,mean_share_pct
0001299130,PACB,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",10-K,Uncertainty,4,4,2021-02-26,2024-02-28,186836,4910,2.6202350760947084,2.627973195743861,2,mean_share_pct
0001829311,BMNR,"BITMINE IMMERSION TECHNOLOGIES, INC.",10-K,Uncertainty,1,1,2025-11-21,2025-11-21,17774,459,2.582423765050073,2.582423765050073,3,mean_share_pct
0001672688,ABSI,Absci Corp,10-K,Uncertainty,3,3,2022-03-22,2025-03-18,191689,4856,2.532918461703965,2.5332700363609804,4,mean_share_pct
0001069258,KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",10-K,Uncertainty,5,5,2021-02-25,2025-02-26,234722,5777,2.4615710703007645,2.461209430730822,5,mean_share_pct
0001730168,AVGO,Broadcom Inc.,10-Q,Uncertainty,15,5,2021-03-12,2025-09-10,332166,10443,3.1512093065836186,3.1439099727244812,1,mean_share_pct
0001299130,PACB,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",10-Q,Uncertainty,9,3,2021-05-06,2023-11-03,301234,8897,2.949124398756181,2.9535178631894143,2,mean_share_pct
0001549595,NRIX,"Nurix Therapeutics, Inc.",10-Q,Uncertainty,15,5,2021-04-13,2025-10-09,813574,23840,2.9325857788221645,2.9302804661899224,3,mean_share_pct
0000002488,AMD,ADVANCED MICRO DEVICES INC,10-Q,Uncertainty,15,5,2021-04-28,2025-11-05,354442,10343,2.9170850861495476,2.918107899176734,4,mean_share_pct
0001474432,P,"Everpure, Inc.",10-Q,Uncertainty,15,5,2021-06-08,2025-12-10,329120,9350,2.8424894099029765,2.840909090909091,5,mean_share_pct
