form,quarter,time,season,Negative_proportional,Negative_tfidf,Uncertainty_proportional,Uncertainty_tfidf,n_firms
10-K,2021Q1,0,1,0.023282348864548927,165.84339128502685,0.020115374271398968,28.278959481422124,38
10-K,2021Q2,1,2,0.024547036544170335,167.25285342651767,0.01987920974511209,30.776254694937936,1
10-K,2021Q3,2,3,0.02180765851893959,121.70443440420843,0.018965428143248413,23.462999265717567,1
10-K,2021Q4,3,4,0.023756783717528995,135.31795095171654,0.02020671029901038,21.712011071092455,5
10-K,2022Q1,4,1,0.023945942961197158,180.29332108303768,0.020560094898661542,31.399063096967666,43
10-K,2022Q2,5,2,0.02684899206933205,150.81324427805652,0.021689751808598653,24.951726698984345,2
10-K,2022Q3,6,3,0.022610181255172047,127.95448115952289,0.019059822215103706,22.346591059913013,1
10-K,2022Q4,7,4,0.024148926563750284,133.45527466230104,0.021317030596539284,23.185613359479667,4
10-K,2023Q1,8,1,0.024411341796146846,183.61848254648416,0.02042645241898652,30.646228590559122,44
10-K,2023Q2,9,2,0.026747818636036313,151.9190058530501,0.02154097935694063,23.466301058302058,2
10-K,2023Q3,10,3,0.023305806789880718,136.80105558358582,0.0190326386158081,22.308750458287733,1
10-K,2023Q4,11,4,0.025532804118556365,146.38994176422887,0.02211562966466635,21.969845033457283,4
10-K,2024Q1,12,1,0.025280899447641492,189.2953447611369,0.021108374359433624,29.921351599690418,43
10-K,2024Q2,13,2,0.02698494439183996,152.44251644938112,0.022027191899769104,23.55586665421857,2
10-K,2024Q3,14,3,0.02447203378983745,140.4553536134792,0.01963394342762063,22.071354421344914,1
10-K,2024Q4,15,4,0.026353417063928,144.44493783829947,0.022166072112019757,20.317572620637787,4
10-K,2025Q1,16,1,0.025681764780652483,185.61724826155245,0.021351455476432902,28.651993200896744,44
10-K,2025Q2,17,2,0.026786377136664867,168.1203948514343,0.021128456263827783,25.573816710386666,2
10-K,2025Q3,18,3,0.02451947771079452,135.2086068148339,0.01957232840420643,23.504657828299102,1
10-K,2025Q4,19,4,0.026439248687311578,134.4659738131677,0.022434931971213195,20.002345045382615,5
10-Q,2021Q1,0,1,0.02726422137987594,83.4838602696346,0.022693803207083255,12.595737551345165,6
10-Q,2021Q2,1,2,0.019215778053511677,63.428896143518465,0.019473390108081634,11.681059614333286,45
10-Q,2021Q3,2,3,0.019715568285436847,69.10599340158423,0.01835318055824055,12.505422004418762,47
10-Q,2021Q4,3,4,0.020426120886112464,76.60304836191797,0.01875301559597205,13.705126326298707,47
10-Q,2022Q1,4,1,0.02841686683690195,85.91449439261267,0.023009676206102007,12.724796984645275,6
10-Q,2022Q2,5,2,0.02044388324993728,72.15340388598928,0.019779775677145128,12.937242639394517,50
10-Q,2022Q3,6,3,0.020408102286549705,72.80571497598899,0.018590935928720614,13.09273368444235,50
10-Q,2022Q4,7,4,0.020384344448342938,71.33048611103389,0.017961942234795976,12.935946320570471,46
10-Q,2023Q1,8,1,0.027930695930326627,86.16305886366065,0.022935389025234506,12.806190044361374,6
10-Q,2023Q2,9,2,0.02100538484484896,74.54360618074078,0.01973091977334283,12.827442822264588,48
10-Q,2023Q3,10,3,0.019503916188418433,66.35597752364747,0.01805895913906898,12.078538907980343,49
10-Q,2023Q4,11,4,0.019523359638431284,66.24845598037368,0.017612795425255554,12.004960292353287,44
10-Q,2024Q1,12,1,0.02554418393767337,72.72332945190846,0.02142968135432154,10.900748820271597,6
10-Q,2024Q2,13,2,0.018194157154156846,58.276624122652926,0.018042161836483682,10.669270148327337,48
10-Q,2024Q3,14,3,0.01789286865297578,55.862240227125035,0.0172155429836458,10.92545393832762,48
10-Q,2024Q4,15,4,0.01806242142185675,62.17581364809078,0.01686199711523859,11.45593410382565,47
10-Q,2025Q1,16,1,0.025590813919172593,67.1215427592791,0.02056844899128265,9.562204169265001,7
10-Q,2025Q2,17,2,0.01887623283258407,59.528015881989155,0.018643838419258346,10.447835246536002,50
10-Q,2025Q3,18,3,0.018328024759346796,59.06269395880856,0.01747435125184242,10.539344183126477,52
10-Q,2025Q4,19,4,0.019140794172270048,65.96674555514326,0.017606195044687536,11.363451819347285,50
