table,form,weighting,pre_vol_control,covariance,formula,term,coefficient,se,t,p,ci_low,ci_high,n,r_squared
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),Intercept,3.602260506199798,0.8958594509015853,4.021010776382963,0.000730288757344123,1.7272051260937606,5.477315886305835,1002,0.6258054089814773
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(form)[T.10-Q],-0.014180519258695689,0.0693041244442414,-0.20461291982852506,0.8400504946318834,-0.1592357187901998,0.13087468027280844,1002,0.6258054089814773
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2021Q2],-0.22169001086931522,,,,,,1002,0.6258054089814773
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2021Q3],-0.10542679107911884,,,,,,1002,0.6258054089814773
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2021Q4],0.2818930205164564,,,,,,1002,0.6258054089814773
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2022Q1],0.3276103684482785,,,,,,1002,0.6258054089814773
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2022Q2],0.21081947318689057,,,,,,1002,0.6258054089814773
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2022Q3],0.0977677629610354,,,,,,1002,0.6258054089814773
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2022Q4],0.09640766288441154,,,,,,1002,0.6258054089814773
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2023Q1],-0.040881355564558464,,,,,,1002,0.6258054089814773
