table,form,weighting,pre_vol_control,covariance,formula,term,coefficient,se,t,p,ci_low,ci_high,n,r_squared
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),Uncertainty_proportional_z,0.10426911939086547,0.04145293978633353,2.5153612730077493,0.021047013457555396,0.017507119292130183,0.19103111948960078,1002,0.6258054089814773
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,Uncertainty_proportional_z,0.04423987435701155,0.018527656138613482,2.3877750119083463,0.027494756621123433,0.00546104438708777,0.08301870432693534,1002,0.7594840414587388
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),Negative_proportional_z,-0.003197859411254502,0.0028475249608745346,-1.1230312131389966,0.2754150176188174,-0.009157797649892982,0.002762078827383977,1002,0.04049681663850446
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),Uncertainty_tfidf_z,0.0838270546288357,0.057289280997505986,1.4632240651176092,0.1597533541627085,-0.03608078855870116,0.20373489781637255,1002,0.6124435199712421
Table 5,Pooled,tfidf,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,Uncertainty_tfidf_z,0.04020226427597889,0.024090180877422276,1.66882367884822,0.11154763846025176,-0.010219063775512995,0.09062359232747078,1002,0.7573412746964394
Table 6,Pooled,tfidf,True,Firm and quarter clusters,filing_return ~ Negative_tfidf_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),Negative_tfidf_z,-0.0043179531098833015,0.0075812163220698595,-0.5695594118998036,0.5756493229259786,-0.020185621233648407,0.011549715013881802,1002,0.0403261336671662
Table 5,10-K,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(quarter),Uncertainty_proportional_z,0.14981566888155007,0.0741247969605558,2.0211275446902315,0.057584558327200885,-0.005329314185025108,0.30496065194812527,248,0.647969337469426
Table 5,10-K,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(quarter) + log_pre_vol,Uncertainty_proportional_z,0.06950433057476,0.06979636891362406,0.9958158519789838,0.33185367557754486,-0.07658114847181148,0.2155898096213315,248,0.7959576201394252
Table 6,10-K,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(quarter),Negative_proportional_z,-0.00574270924690424,0.018433763112716325,-0.3115321170066841,0.7587886200710395,-0.04432501885508409,0.03283960036127561,248,0.09071027767957285
Table 5,10-K,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(quarter),Uncertainty_tfidf_z,0.14199161809525124,0.0657893512133952,2.158276612801445,0.043911680301092854,0.0042929234816986295,0.27969031270880385,248,0.6458931104550365
Table 5,10-K,tfidf,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(quarter) + log_pre_vol,Uncertainty_tfidf_z,0.07075318720260595,0.036657942235143695,1.9300916224036002,0.06866116912349801,-0.005972767680660088,0.14747914208587198,248,0.795846514545848
Table 6,10-K,tfidf,True,Firm and quarter clusters,filing_return ~ Negative_tfidf_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(quarter),Negative_tfidf_z,0.0028052925930750674,0.01490986257956687,0.1881501307007057,0.8527539106651014,-0.028401408433880705,0.03401199362003084,248,0.09039365182774195
