form,measure,specification,covariance,term,coefficient,se,t,p,ci_low,ci_high,n,r_squared
10-K,Negative_proportional,Aggregate + calendar-quarter seasonality,OLS,time,0.00016002083240166575,1.8730220067896037e-05,8.54345714153912,3.7978583903813415e-07,0.00012009831334971415,0.00019994335145361735,20,0.9237675481648562
10-K,Negative_proportional,Aggregate + calendar-quarter seasonality,Newey-West lag 4,time,0.00016002083240166575,1.8149192022827704e-05,8.816967289805222,2.549062697689698e-07,0.00012133674531233254,0.00019870491949099895,20,0.9237675481648562
10-K,Negative_tfidf,Aggregate + calendar-quarter seasonality,OLS,time,0.6294313676651009,0.2806927392992117,2.242421265461171,0.040472673328438326,0.03114895604386758,1.2277137792863342,20,0.9073190274884616
10-K,Negative_tfidf,Aggregate + calendar-quarter seasonality,Newey-West lag 4,time,0.6294313676651009,0.1748862508744639,3.5990900629284837,0.0026305651144391076,0.2566701477140719,1.00219258761613,20,0.9073190274884616
10-K,Uncertainty_proportional,Aggregate + calendar-quarter seasonality,OLS,time,8.093613496100487e-05,1.8593499053058985e-05,4.352926511037165,0.0005680653308960652,4.130502985399618e-05,0.00012056724006801356,20,0.86172407967529
10-K,Uncertainty_proportional,Aggregate + calendar-quarter seasonality,Newey-West lag 4,time,8.093613496100487e-05,1.8432310615376816e-05,4.3909923530414785,0.0005263188136858524,4.164859487624333e-05,0.00012022367504576641,20,0.86172407967529
10-K,Uncertainty_tfidf,Aggregate + calendar-quarter seasonality,OLS,time,-0.1188229523491432,0.06648124425526712,-1.7873154102366124,0.09410524131024983,-0.26052437020528074,0.02287846550699435,20,0.834734301116928
10-K,Uncertainty_tfidf,Aggregate + calendar-quarter seasonality,Newey-West lag 4,time,-0.1188229523491432,0.04389012406888525,-2.707282215986708,0.01622013736439611,-0.21237253735033082,-0.025273367347955572,20,0.834734301116928
10-Q,Negative_proportional,Aggregate + calendar-quarter seasonality,OLS,time,-0.00012082007186372539,3.405317507750945e-05,-3.5479825769175184,0.002921296967412637,-0.00019340269640755038,-4.8237447319900406e-05,20,0.9524607230130713
10-Q,Negative_proportional,Aggregate + calendar-quarter seasonality,Newey-West lag 4,time,-0.00012082007186372539,4.1119518324883594e-05,-2.9382657381618884,0.010173098025517233,-0.0002084642505109354,-3.3175893216515394e-05,20,0.9524607230130713
10-Q,Negative_tfidf,Aggregate + calendar-quarter seasonality,OLS,time,-0.8440730747419901,0.20019047120685324,-4.216349907433029,0.0007478039650268254,-1.2707689636212347,-0.41737718586274547,20,0.7434714636887222
10-Q,Negative_tfidf,Aggregate + calendar-quarter seasonality,Newey-West lag 4,time,-0.8440730747419901,0.22940396776023791,-3.6794179411237344,0.002231204670962751,-1.3330360575741587,-0.3551100919098216,20,0.7434714636887222
10-Q,Uncertainty_proportional,Aggregate + calendar-quarter seasonality,OLS,time,-9.846286426054527e-05,2.044856480162841e-05,-4.815147919462016,0.0002270441330200259,-0.00014204794841432577,-5.487778010676477e-05,20,0.9437732990334503
10-Q,Uncertainty_proportional,Aggregate + calendar-quarter seasonality,Newey-West lag 4,time,-9.846286426054527e-05,2.312004360813238e-05,-4.258766372997297,0.0006864927143010114,-0.0001477420707024212,-4.918365781866932e-05,20,0.9437732990334503
10-Q,Uncertainty_tfidf,Aggregate + calendar-quarter seasonality,OLS,time,-0.15555207984089237,0.026773092481737815,-5.810015408081675,3.437103608250614e-05,-0.21261757564432227,-0.09848658403746247,20,0.7072271214784165
10-Q,Uncertainty_tfidf,Aggregate + calendar-quarter seasonality,Newey-West lag 4,time,-0.15555207984089237,0.03323783837522828,-4.679969800828663,0.0002962008351502984,-0.22639685534116194,-0.08470730434062279,20,0.7072271214784165
Pooled,Negative_proportional,Within firm-form + calendar-quarter seasonality,Firm and quarter clusters,time,-2.5115960618638027e-05,5.052332302359573e-05,-0.49711616567477573,0.6248106145787581,-0.000130862491015665,8.063056977838896e-05,1000,0.8558864292818977
Pooled,Negative_tfidf,Within firm-form + calendar-quarter seasonality,Firm and quarter clusters,time,-0.30407331530885184,0.33596002076539405,-0.9050877976971874,0.3767532209308858,-1.0072457200903364,0.39909908947263284,1000,0.9255885224254489
Pooled,Uncertainty_proportional,Within firm-form + calendar-quarter seasonality,Firm and quarter clusters,time,-4.5730418940575764e-05,2.87218756158466e-05,-1.5921808015680254,0.12784478812409286,-0.00010584599549226615,1.4385157611114622e-05,1000,0.8820296598923055
Pooled,Uncertainty_tfidf,Within firm-form + calendar-quarter seasonality,Firm and quarter clusters,time,-0.141886154610057,0.042774035473523285,-3.3171093874900617,0.0036229351321089365,-0.23141323976025552,-0.052359069459858465,1000,0.9392597829828273
10-K,Negative_proportional,Within firm-form + calendar-quarter seasonality,Firm and quarter clusters,time,0.0001558012840219857,1.911111724334594e-05,8.152390152712407,1.2648862421053528e-07,0.00011580125592504525,0.00019580131211892617,248,0.9455497049383031
10-K,Negative_tfidf,Within firm-form + calendar-quarter seasonality,Firm and quarter clusters,time,0.8523272828773198,0.2512635276202581,3.392164756062276,0.0030581791384039075,0.32642667557263316,1.3782278901820066,248,0.9806930218199014
10-K,Uncertainty_proportional,Within firm-form + calendar-quarter seasonality,Firm and quarter clusters,time,6.195624975087683e-05,1.0188700074633213e-05,6.080878747734383,7.565826246708352e-06,4.063105541151778e-05,8.328144409023588e-05,248,0.9512294338859104
10-K,Uncertainty_tfidf,Within firm-form + calendar-quarter seasonality,Firm and quarter clusters,time,-0.11520184250158907,0.0642644312799979,-1.7926221427162197,0.08897078721826732,-0.2497088430134944,0.019305158010316265,248,0.9483739312654887
10-Q,Negative_proportional,Within firm-form + calendar-quarter seasonality,Firm and quarter clusters,time,-8.368811463435166e-05,5.829653177760566e-05,-1.4355590647075176,0.16738704529902065,-0.00020570415793345865,3.832792866475535e-05,752,0.846880818786999
10-Q,Negative_tfidf,Within firm-form + calendar-quarter seasonality,Firm and quarter clusters,time,-0.6734281127402063,0.3776956189225241,-1.7829915916455075,0.09057263769756783,-1.4639541283896833,0.11709790290927069,752,0.8692654541826356
