table,form,weighting,pre_vol_control,covariance,formula,term,coefficient,se,t,p,ci_low,ci_high,n,r_squared
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),Uncertainty_proportional_z,0.10426911939086547,0.04145293978633353,2.5153612730077493,0.021047013457555396,0.017507119292130183,0.19103111948960078,1002,0.6258054089814773
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,Uncertainty_proportional_z,0.04423987435701155,0.018527656138613482,2.3877750119083463,0.027494756621123433,0.00546104438708777,0.08301870432693534,1002,0.7594840414587388
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),Uncertainty_tfidf_z,0.08382705462883572,0.05728928099750662,1.4632240651175932,0.1597533541627128,-0.03608078855870246,0.20373489781637388,1002,0.6124435199712421
Table 5,Pooled,tfidf,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,Uncertainty_tfidf_z,0.04020226427597837,0.024090180877428848,1.6688236788477433,0.11154763846034736,-0.010219063775527268,0.090623592327484,1002,0.7573412746964393
Table 5,10-K,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(quarter),Uncertainty_proportional_z,0.14981566888155007,0.0741247969605558,2.0211275446902315,0.057584558327200885,-0.005329314185025108,0.30496065194812527,248,0.647969337469426
Table 5,10-K,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(quarter) + log_pre_vol,Uncertainty_proportional_z,0.06950433057476,0.06979636891362406,0.9958158519789838,0.33185367557754486,-0.07658114847181148,0.2155898096213315,248,0.7959576201394252
Table 5,10-K,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(quarter),Uncertainty_tfidf_z,0.1419916180952523,0.06578935121328938,2.1582766128049324,0.04391168030078639,0.004292923481921174,0.2796903127085834,248,0.6458931104550365
Table 5,10-K,tfidf,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(quarter) + log_pre_vol,Uncertainty_tfidf_z,0.07075318720260534,0.03665794223537009,1.9300916223916635,0.06866116912506671,-0.0059727676811345415,0.14747914208634522,248,0.795846514545848
Table 5,10-Q,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(quarter),Uncertainty_proportional_z,0.11892726702520645,0.04735146306366361,2.5115859010588504,0.02121547791433872,0.019819515821531963,0.21803501822888094,754,0.6371284382954824
Table 5,10-Q,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(quarter) + log_pre_vol,Uncertainty_proportional_z,0.053848354709179924,0.021928038496116516,2.455684976963012,0.023862860821215415,0.007952442670816663,0.09974426674754319,754,0.7599754567094501
Table 5,10-Q,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(quarter),Uncertainty_tfidf_z,0.060662251315675264,0.09034962864029455,0.6714167200087509,0.5100365855933162,-0.1284416947353191,0.24976619736666963,754,0.6157174914450051
Table 5,10-Q,tfidf,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(quarter) + log_pre_vol,Uncertainty_tfidf_z,0.02452797696564088,0.03383320373680657,0.7249676133672587,0.4773061367644772,-0.046285732293192355,0.09534168622447411,754,0.75577979158485
